rowid,pscis_crossing_id,my_crossing_reference,road_tenure,transport_line_structured_name_1,my_road_tenure
5,8530,,,McDonell FSR,MoF 7552
6,,8300042,,Kispiox Westside Rd,MoTi  Local
7,,8300054,MoTi,Kispiox Valley Rd,MoTi  Arterial 
8,,8301485,Sik E Dakh,, Resource
9,,8301994,,Kitwancool Branch 2 FSR,MoF 8687
10,,8300128,,,MoF 4841
11,,8302257,,Babine Slide FSR,MoF 4841
12,,8300238,,, Resource
13,,8300095,MoTi,Hwy 37,MoTi  Highway 
